Price,Living Area,Bathrooms,Bedrooms,Lot Size,Age,Fireplace
189776,1964,2.5,4,0.48,6,1
189995,2150,2.0,4,1.2,104,0
332888,3111,2.5,4,0.5,3,1
104984,1144,1.5,3,0.52,44,1
122257,1400,1.5,3,1.0,17,0
153129,1560,2.0,3,1.0,4,1
261846,2772,2.5,4,0.29,0,1
114513,1560,1.5,3,1.59,5,0
163781,1124,1.0,3,0.45,26,0
328491,2733,2.5,4,0.47,3,1
308218,3597,2.5,4,0.51,0,1
139418,1296,2.0,4,0.38,51,1
79982,1572,1.5,4,0.39,41,0
126082,1592,1.5,3,0.16,18,1
279522,2000,2.5,3,0.39,4,1
117907,1295,1.5,3,0.13,125,0
125029,1836,2.0,3,0.35,27,0
49211,800,1.0,2,0.46,55,0
178760,2014,1.5,3,0.31,32,1
191746,1666,1.0,3,0.18,140,0
163652,1908,2.5,3,0.27,25,1
189665,2203,2.5,3,0.57,1,1
158863,1696,2.5,3,0.71,5,1
117703,1492,2.5,3,0.17,17,1
93200,924,1.0,2,0.31,19,1
257499,1675,2.5,2,0.04,18,1
197105,1894,2.0,3,0.34,0,1
238951,2641,3.0,4,0.39,1,1
150505,1785,2.5,3,0.17,1,0
366772,3200,2.5,4,1.27,1,1
110889,1266,1.0,3,0.03,134,1
213249,1643,2.5,3,0.41,3,1
148496,1470,1.5,3,0.35,12,0
292524,2900,2.5,4,0.46,1,1
88092,1572,1.5,4,0.06,50,1
98423,1355,1.0,3,0.47,60,0
97783,1061,1.0,3,0.92,48,1
150502,1668,2.0,3,0.26,18,1
121798,1308,1.0,3,0.46,29,0
102003,1184,1.5,2,0.16,20,0
169876,1774,2.5,3,0.36,1,1
209371,2076,2.5,3,0.62,13,1
265515,1870,2.5,3,0.11,4,1
161496,1910,2.5,4,0.36,20,0
101230,1040,1.0,3,0.47,12,0
172795,1512,1.5,3,0.18,15,1
203240,2464,2.5,4,0.58,42,1
124585,1468,1.0,4,0.34,51,0
167145,1852,2.5,4,0.44,16,0
175084,2214,2.5,3,0.46,22,1
167975,2311,2.5,4,0.3,20,1
68353,1216,1.0,2,0.61,101,0
91672,1392,1.5,3,0.26,21,0
135011,2488,2.0,3,0.41,24,1
115312,912,1.0,2,0.46,14,0
163524,2516,2.0,3,2.96,40,1
108421,1288,1.0,3,0.34,32,0
119937,2028,2.0,3,0.5,27,1
139079,1248,2.0,3,0.75,37,0
98333,912,1.5,2,0.16,18,0
63101,1628,1.0,2,0.06,124,0
259999,2577,2.5,4,0.77,1,1
167776,3106,2.5,4,5.51,8,0
157370,1656,1.5,3,0.33,19,1
157946,1804,2.5,3,0.43,0,1
120476,1248,2.0,3,1.0,14,0
211517,2328,2.5,4,0.85,10,1
187026,1831,2.0,3,0.47,19,1
55817,1688,2.0,5,0.17,119,0
31113,1540,1.0,2,0.04,115,0
250723,2490,2.5,4,0.3,4,1
94405,1375,1.5,2,0.09,22,0
158338,1836,2.5,3,1.0,15,1
126010,1760,1.0,4,0.52,37,1
212932,2494,2.5,3,0.53,13,1
267731,3001,2.5,5,0.66,0,1
160349,1732,1.5,3,0.31,17,1
209122,3476,2.5,4,0.34,20,1
130574,1600,1.0,3,0.27,57,0
312448,2919,2.5,4,0.05,5,1
79116,908,1.0,2,0.15,19,0
355529,2186,2.5,3,1.4,12,0
103256,1492,1.5,3,0.15,16,0
205397,2425,2.5,4,0.42,0,1
229180,2310,2.5,4,1.4,3,1
160426,2262,2.0,4,0.46,21,0
205950,1474,2.0,3,0.14,29,1
136203,1479,1.5,2,0.06,20,1
103958,1486,1.5,3,0.1,16,0
247639,1016,2.0,2,0.01,41,0
107892,1375,1.5,2,0.2,20,1
178216,1512,2.0,3,0.77,12,1
76342,896,1.0,2,0.0,48,0
218734,2219,2.5,4,0.3,15,1
180817,1815,2.5,3,0.46,11,1
166222,1498,1.5,3,0.77,10,0
236055,2405,2.5,4,1.63,16,1
80130,1225,1.0,3,0.24,48,1
54210,792,1.0,2,0.4,55,0
150434,1666,1.5,4,0.56,38,0
209371,2084,2.5,3,0.43,5,1
108794,1464,1.0,2,0.11,87,0
190983,2088,2.5,4,0.49,22,1
243276,3271,2.5,4,0.97,1,1
182649,1758,2.5,3,0.27,1,1
98389,1184,1.5,2,0.15,18,0
180032,2066,2.5,4,0.41,32,1
231749,1980,2.0,3,0.22,6,0
240872,2348,2.5,4,0.51,7,1
101708,1492,2.5,3,0.17,16,0
260228,2092,2.5,4,3.64,0,1
120115,967,2.0,4,1.2,55,0
40932,1320,1.0,3,0.17,90,0
172315,2008,2.5,4,0.32,0,1
238792,2250,2.5,4,2.48,10,1
74422,1708,1.0,2,0.87,39,1
254327,2541,2.5,4,0.5,5,1
134933,1496,1.0,3,0.25,37,1
212103,1400,2.0,3,0.98,25,1
109578,1342,1.0,2,0.57,41,1
128273,1343,2.5,2,0.12,15,1
154499,1886,1.5,3,0.28,31,1
139079,1400,1.5,3,1.0,35,1
109259,1239,1.0,3,0.37,33,1
147634,864,1.5,3,0.16,39,0
155713,3535,3.0,4,4.2,39,1
143294,1360,1.0,4,0.92,53,0
311709,3028,2.5,5,0.66,0,1
140765,1596,1.5,3,0.28,49,0
378465,3457,2.5,3,1.0,20,1
87852,1270,1.0,3,0.04,110,0
111353,1248,1.5,3,1.28,0,0
137606,1508,1.5,3,0.34,19,0
179524,2600,2.5,4,0.44,18,1
106524,1308,1.0,2,1.35,17,0
139627,1980,1.0,4,7.16,205,0
130757,1394,1.0,4,0.46,33,0
329328,3542,3.5,4,0.56,1,1
139800,1900,1.5,3,0.37,12,1
106524,1144,1.0,2,0.18,16,1
242952,1708,2.0,2,0.17,14,1
224888,1200,1.0,2,0.16,65,0
163992,2310,2.5,4,0.45,33,1
137681,1728,1.5,4,1.84,12,0
126311,1370,1.0,3,0.45,27,1
106950,1472,1.0,3,0.93,28,1
130229,1248,2.0,3,0.35,11,0
102806,1168,2.0,3,0.14,21,0
131411,1512,1.5,3,0.05,13,1
103677,1375,1.5,2,0.08,21,1
79893,2634,2.5,4,0.24,83,0
102086,1302,1.5,2,0.06,16,0
148967,1864,1.5,3,4.0,154,1
212846,2270,2.5,3,0.46,0,1
196846,2144,2.5,3,0.92,19,1
90446,1256,1.5,3,0.21,19,0
103258,1344,1.5,3,0.64,16,0
153850,2400,2.0,3,2.26,26,0
208048,1876,2.5,3,0.24,1,1
95708,912,1.5,2,0.16,20,0
237367,2936,2.5,4,0.33,6,1
270841,2306,2.5,3,0.79,1,1
163728,1811,2.5,3,0.46,19,1
154798,2470,2.5,4,0.34,26,1
151950,1890,2.0,4,0.69,30,1
175321,2648,2.5,6,0.57,41,1
101375,960,1.0,3,0.46,19,0
244382,2572,2.5,4,1.03,6,1
80248,1600,1.5,3,0.36,16,0
225742,2216,2.5,3,0.5,8,1
190856,2086,2.5,4,0.46,14,1
337918,3026,4.0,4,1.34,1,1
218184,2655,2.5,4,0.37,1,1
261872,2380,2.5,3,0.95,9,1
129155,1260,1.5,2,0.06,27,1
129868,1792,2.5,2,0.08,24,1
159786,1561,1.5,3,0.32,16,1
159175,1512,2.0,3,0.25,12,0
163191,1886,2.5,3,0.43,16,1
124013,1524,1.5,3,0.71,180,0
373227,2058,1.5,2,0.23,49,1
78191,1080,2.0,3,1.0,15,0
101227,1754,1.0,4,0.1,110,0
196317,2359,2.5,4,0.61,1,1
94064,912,1.0,3,0.35,37,0
181399,1842,1.5,3,0.53,8,0
240590,3001,2.5,4,0.31,1,1
137540,1551,1.0,4,1.95,97,0
168065,1016,2.0,2,0.01,41,0
193497,1948,2.5,3,1.13,13,1
234954,2294,3.5,4,0.52,0,1
99045,937,1.0,2,0.13,19,0
148246,1391,2.0,3,0.04,12,0
85560,2068,1.0,4,1.0,104,1
98632,1406,1.5,2,0.16,19,0
210081,1596,1.0,3,3.14,29,1
142057,952,1.0,3,0.13,102,0
238832,2872,3.0,5,0.21,0,1
116321,1486,1.5,3,0.1,16,0
207018,2147,2.5,4,0.61,9,1
205070,2460,2.5,4,0.5,1,1
177124,1064,1.0,2,0.1,77,1
90678,957,1.0,3,0.18,49,0
148989,792,1.0,3,0.13,36,0
236215,1392,2.5,3,0.13,4,0
100967,988,1.0,2,0.15,20,0
218475,2748,2.5,4,0.17,0,1
193524,1730,2.5,3,0.66,1,1
157055,1836,1.5,4,0.36,106,1
85939,1527,2.0,2,0.31,17,1
110182,1480,1.5,3,0.29,20,1
138297,1800,1.0,2,0.48,49,1
107695,1802,2.0,4,0.97,56,1
134378,1279,1.0,3,0.28,31,0
123834,1092,1.0,5,0.33,72,0
175784,1837,1.5,3,0.52,18,0
248204,1908,2.0,3,0.26,0,1
345364,3308,2.5,4,0.66,7,1
111875,1758,2.0,3,0.3,25,0
228375,2512,2.5,4,0.04,0,1
52360,1310,1.5,4,0.24,120,0
155787,1540,1.5,3,0.43,16,0
163310,1720,1.5,3,0.36,19,0
216018,1216,1.5,3,0.14,75,0
127303,1210,1.0,2,0.7,17,1
132088,1368,1.0,3,0.24,33,0
208743,1804,2.5,3,0.23,4,1
235620,2107,1.0,2,0.09,1,1
194877,2066,2.5,4,0.65,35,1
118585,936,1.0,3,0.24,35,0
297024,3020,2.5,4,0.77,2,1
104556,1673,2.0,2,0.15,18,0
153013,1720,2.0,4,0.72,31,1
263226,3355,2.5,4,0.83,1,1
329484,2786,2.5,4,0.39,0,1
111809,1711,1.0,3,0.45,112,0
115566,1184,2.0,3,0.15,17,0
277235,2950,2.5,4,0.41,1,1
201928,2322,2.5,4,0.42,22,1
198622,1616,2.0,2,1.0,36,1
137220,1290,1.5,3,0.14,16,1
263938,2641,2.5,4,0.34,3,1
180288,2294,2.5,5,0.4,36,1
241885,2604,3.0,4,0.24,0,1
208610,1752,2.5,3,0.74,10,1
237062,2604,2.5,4,0.33,0,1
93174,784,1.0,1,0.16,44,0
446436,3467,2.5,4,0.34,3,1
127385,1416,1.5,3,0.37,11,0
165957,1212,1.0,2,2.0,87,1
133215,1364,1.5,2,0.14,19,1
183657,1250,1.5,4,0.22,43,0
239301,2619,2.5,4,0.4,0,1
232219,2541,2.5,4,0.49,5,1
271791,2815,2.5,4,0.48,1,1
114514,1514,2.0,3,0.16,17,0
198083,1971,2.5,4,0.49,7,1
138424,1673,1.0,3,0.29,27,1
298923,3515,2.5,4,0.51,0,1
139104,1760,3.0,4,0.16,135,0
251699,3081,2.5,4,0.3,1,1
111239,912,1.5,2,0.16,20,0
207347,2119,2.5,4,0.9,14,1
93895,1480,1.5,3,0.22,17,1
300931,847,1.0,2,0.55,78,0
230708,2548,2.5,3,0.36,3,1
196875,2086,2.5,4,0.47,17,1
208253,2602,2.5,4,0.37,1,1
177539,1528,2.5,3,0.46,8,0
137508,1164,1.0,3,2.0,54,1
184108,2702,1.5,5,0.35,31,1
151917,1510,2.5,3,0.39,0,1
166335,1664,2.0,3,0.51,37,1
272902,3020,2.5,4,0.41,1,1
205950,2284,2.5,4,0.56,18,1
181516,1924,2.0,3,1.04,16,0
227994,1973,2.5,3,0.27,3,1
185318,1500,1.5,4,0.58,208,1
285769,3125,2.5,4,0.53,3,1
130650,2110,2.0,3,0.92,52,1
154314,1466,1.0,3,0.23,62,1
102405,1680,2.0,3,0.12,15,0
134865,1500,1.5,3,0.49,31,1
162913,2011,2.5,4,0.99,12,1
146329,2026,2.5,4,1.0,1,1
16858,1629,1.0,3,0.76,180,0
107766,1272,1.0,3,0.38,43,1
146611,1580,1.5,5,1.0,26,0
135526,1420,1.5,3,0.35,13,0
101230,1281,1.0,2,0.19,8,0
107049,1592,2.0,3,0.16,16,0
181225,1944,2.5,4,0.26,25,1
114070,1098,1.0,2,0.1,113,0
340545,2926,3.0,4,0.84,11,1
57678,924,1.0,1,0.17,104,0
170345,1952,2.0,4,0.15,33,1
139435,1666,2.5,3,0.19,0,0
309808,2270,2.5,3,4.05,9,1
149078,1664,1.5,3,0.46,14,0
243305,2242,2.5,3,0.08,0,0
205073,2501,2.5,4,0.07,0,0
89955,1216,1.0,3,0.21,129,0
198622,1971,2.5,4,0.35,11,0
81762,1008,1.0,3,0.33,41,0
133155,1480,2.5,3,0.03,16,1
143697,1376,1.5,3,0.53,14,1
204661,1927,2.0,3,0.33,3,1
123064,1209,1.0,2,0.19,73,0
162612,1348,2.0,2,0.36,11,1
162631,1804,2.5,3,0.37,2,1
153129,1872,1.5,4,0.56,32,1
253545,1498,1.0,2,0.4,51,1
150581,1664,2.0,3,0.49,33,1
103861,1700,1.0,3,0.46,25,1
308253,2880,2.5,4,0.66,9,1
135823,1946,1.5,4,0.38,18,0
233155,3236,2.5,4,2.5,0,1
122044,1637,1.5,3,0.76,54,0
98790,1480,1.5,3,0.08,16,1
120192,1404,2.0,3,6.13,7,0
145583,1376,2.0,3,0.46,25,1
